game_id,game_date,opponent,day_of_week,is_weekend,final_attendance,is_sellout,ticket_revenue,concession_revenue,total_revenue,cumulative_revenue
G2025000,2025-10-21,Pelicans,Tuesday,False,14091,False,631178.7900000006,103160.87999999977,734339.6700000004,734339.6700000004
G2025001,2025-10-22,Nuggets,Wednesday,False,15055,False,632599.4600000004,100378.09000000003,732977.5500000005,1467317.220000001
G2025002,2025-10-23,Bucks,Thursday,False,15406,False,626927.3800000009,97505.71999999993,724433.1000000009,2191750.3200000017
G2025003,2025-10-24,Pacers,Friday,True,13987,False,623465.1600000034,96810.34999999992,720275.5100000033,2912025.8300000047
G2025004,2025-10-25,Hornets,Saturday,True,18000,True,626511.8200000012,128209.55000000048,754721.3700000017,3666747.2000000067
G2025005,2025-10-28,Jazz,Tuesday,False,15443,False,626432.6400000013,101336.01999999992,727768.6600000012,4394515.860000008
G2025006,2025-10-31,Jazz,Friday,True,14858,False,629824.0600000008,84829.6899999998,714653.7500000006,5109169.610000009
G2025007,2025-11-04,76ers,Tuesday,False,16667,False,626091.0899999985,119926.01,746017.0999999985,5855186.710000007
G2025008,2025-11-08,Bucks,Saturday,True,15865,False,634382.4200000006,99930.27000000035,734312.690000001,6589499.400000009
G2025009,2025-11-10,Kings,Monday,False,15605,False,626858.8800000014,100435.7699999999,727294.6500000013,7316794.05000001
G2025010,2025-11-11,Lakers,Tuesday,False,18000,True,627202.8100000017,128962.99000000076,756165.8000000025,8072959.850000013
G2025011,2025-11-13,Bulls,Thursday,False,14525,False,634861.8499999997,94149.38999999993,729011.2399999996,8801971.090000013
G2025012,2025-11-14,Knicks,Friday,True,18000,True,628047.0800000014,128620.21000000036,756667.2900000017,9558638.380000014
G2025013,2025-11-16,Thunder,Sunday,True,15784,False,639728.4999999993,120868.10999999977,760596.609999999,10319234.990000013
G2025014,2025-11-17,Mavericks,Monday,False,15622,False,625867.9500000015,112323.28000000065,738191.2300000021,11057426.220000016
G2025015,2025-11-20,Raptors,Thursday,False,16045,False,627989.8500000002,108887.58999999997,736877.4400000002,11794303.660000015
G2025016,2025-11-21,Hornets,Friday,True,15779,False,629155.8299999996,103899.98000000014,733055.8099999997,12527359.470000016
G2025017,2025-11-22,Hornets,Saturday,True,14569,False,627190.140000001,87104.29000000002,714294.430000001,13241653.900000017
G2025018,2025-11-23,Jazz,Sunday,True,17215,False,633057.9099999982,103543.82999999999,736601.7399999981,13978255.640000015
G2025019,2025-11-25,Grizzlies,Tuesday,False,17518,False,619867.9100000021,116504.50000000041,736372.4100000025,14714628.050000018
G2025020,2025-11-26,Wizards,Wednesday,False,16628,False,628990.69,118840.79000000043,747831.4800000003,15462459.530000018
G2025021,2025-11-28,Warriors,Friday,True,17476,False,626838.2200000009,105877.47999999988,732715.7000000008,16195175.23000002
G2025022,2025-11-29,Raptors,Saturday,True,15576,False,619283.1500000004,109741.43,729024.5800000003,16924199.81000002
G2025023,2025-12-01,Hornets,Monday,False,16739,False,631311.7499999974,95060.06000000007,726371.8099999975,17650571.62000002
G2025024,2025-12-03,Jazz,Wednesday,False,16144,False,623428.230000002,118517.25000000013,741945.4800000021,18392517.10000002
G2025025,2025-12-04,Hawks,Thursday,False,17053,False,630149.8399999994,119729.84000000033,749879.6799999997,19142396.78000002
G2025026,2025-12-06,Magic,Saturday,True,16577,False,631182.54,114170.17999999972,745352.7199999997,19887749.50000002
G2025027,2025-12-08,Knicks,Monday,False,16574,False,637545.2099999986,120427.38000000044,757972.589999999,20645722.09000002
G2025028,2025-12-10,Blazers,Wednesday,False,14630,False,625998.5400000028,96432.11000000038,722430.6500000032,21368152.74000002
G2025029,2025-12-13,Lakers,Saturday,True,17651,True,629514.2999999971,113979.57999999955,743493.8799999966,22111646.620000016
G2025030,2025-12-14,Jazz,Sunday,True,14132,False,631255.7899999997,88035.47999999998,719291.2699999997,22830937.890000015
G2025031,2025-12-15,Celtics,Monday,False,14897,False,631912.1299999984,87664.81999999996,719576.9499999983,23550514.840000015
G2025032,2025-12-17,Mavericks,Wednesday,False,14244,False,634329.4100000005,106914.5899999997,741244.0000000002,24291758.840000015
G2025033,2025-12-19,Timberwolves,Friday,True,18000,True,635530.0600000012,123821.62000000013,759351.6800000013,25051110.520000014
G2025034,2025-12-21,Celtics,Sunday,True,17573,False,626260.6799999978,118328.37999999957,744589.0599999974,25795699.580000013
G2025035,2025-12-23,Mavericks,Tuesday,False,13549,False,629843.9899999993,89523.96000000033,719367.9499999996,26515067.530000012
G2025036,2025-12-24,Knicks,Wednesday,False,13038,False,622543.6099999982,84791.07000000014,707334.6799999984,27222402.210000012
G2025037,2025-12-26,Hornets,Friday,True,13257,False,630891.6200000007,92935.15000000013,723826.7700000008,27946228.98000001
G2025038,2025-12-29,Jazz,Monday,False,13448,False,628797.1399999997,81717.27999999991,710514.4199999996,28656743.40000001
G2025039,2026-01-01,Rockets,Thursday,False,13972,False,630144.79,96573.18000000007,726717.9700000001,29383461.37000001
G2025040,2026-01-02,Rockets,Friday,True,14644,False,631304.9299999985,85065.25999999976,716370.1899999983,30099831.560000006
G2025041,2026-01-04,Blazers,Sunday,True,15559,False,628645.5500000017,97995.56999999988,726641.1200000015,30826472.680000007
G2025042,2026-01-09,Clippers,Friday,True,17902,True,628465.9100000027,101156.77000000015,729622.6800000028,31556095.36000001
G2025043,2026-01-10,Nuggets,Saturday,True,16041,False,627792.8900000002,106269.0900000002,734061.9800000004,32290157.34000001
G2025044,2026-01-17,Hornets,Saturday,True,17683,True,628226.5700000004,106133.73999999974,734360.3100000002,33024517.65000001
G2025045,2026-01-22,Jazz,Thursday,False,13582,False,625704.4199999985,95178.36999999982,720882.7899999984,33745400.440000005
G2025046,2026-01-24,Rockets,Saturday,True,15711,False,629672.0700000003,99552.64000000013,729224.7100000004,34474625.150000006
G2025047,2026-01-26,Celtics,Monday,False,13811,False,623295.199999998,103820.83000000009,727116.029999998,35201741.18000001
G2025048,2026-01-30,Blazers,Friday,True,17196,False,633081.3300000002,100142.7099999999,733224.04,35934965.220000006
G2025049,2026-02-01,Jazz,Sunday,True,16073,False,622994.7400000017,95115.16000000016,718109.9000000019,36653075.120000005
G2025050,2026-02-02,Magic,Monday,False,18000,True,628930.4299999996,109611.4500000008,738541.8800000004,37391617.00000001
G2025051,2026-02-05,Knicks,Thursday,False,14293,False,627603.9,78620.47000000013,706224.3700000001,38097841.370000005
G2025052,2026-02-10,Hornets,Tuesday,False,13628,False,619812.2099999981,93612.31000000003,713424.5199999982,38811265.89
G2025053,2026-02-12,Knicks,Thursday,False,16034,False,626527.2199999985,117367.83,743895.0499999984,39555160.94
G2025054,2026-02-14,Warriors,Saturday,True,16082,False,631649.3499999993,113067.47999999966,744716.8299999989,40299877.769999996
G2025055,2026-02-16,Spurs,Monday,False,16404,False,628566.6299999999,121406.09000000039,749972.7200000003,41049850.489999995
G2025056,2026-02-17,Bulls,Tuesday,False,15388,False,634864.8599999982,116062.68999999958,750927.5499999978,41800778.03999999
G2025057,2026-02-20,Lakers,Friday,True,16146,False,634389.8700000023,115376.37000000004,749766.2400000023,42550544.279999994
G2025058,2026-02-24,Suns,Tuesday,False,14297,False,624481.9299999982,81125.66999999985,705607.599999998,43256151.879999995
G2025059,2026-02-25,Blazers,Wednesday,False,15014,False,630717.0300000008,106044.68000000001,736761.7100000009,43992913.589999996
G2025060,2026-02-26,Bulls,Thursday,False,12746,False,630983.9499999984,78308.02999999971,709291.9799999981,44702205.56999999
G2025061,2026-02-27,Heat,Friday,True,18000,True,638616.0499999982,120917.78000000048,759533.8299999987,45461739.39999999
G2025062,2026-02-28,Suns,Saturday,True,18000,True,632428.9600000005,115878.75000000009,748307.7100000007,46210047.10999999
G2025063,2026-03-03,Clippers,Tuesday,False,17187,False,638835.3900000014,120281.03999999989,759116.4300000013,46969163.53999999
G2025064,2026-03-06,Thunder,Friday,True,15575,False,632460.9999999979,94841.86999999969,727302.8699999976,47696466.40999999
G2025065,2026-03-11,Warriors,Wednesday,False,14369,False,632943.5300000007,83902.51999999974,716846.0500000005,48413312.459999986
G2025066,2026-03-12,Bulls,Thursday,False,16398,False,629066.9999999979,123823.85000000003,752890.849999998,49166203.30999999
G2025067,2026-03-13,Pacers,Friday,True,14687,False,625762.1499999991,108539.8699999998,734302.0199999989,49900505.32999998
G2025068,2026-03-15,Mavericks,Sunday,True,18000,True,630729.2399999978,103772.31000000001,734501.5499999978,50635006.87999998
G2025069,2026-03-18,Raptors,Wednesday,False,11214,False,628255.25,76653.51000000008,704908.7600000001,51339915.63999998
G2025070,2026-03-19,Knicks,Thursday,False,14686,False,635242.329999999,108331.35000000005,743573.6799999991,52083489.31999998
G2025071,2026-03-20,Cavaliers,Friday,True,14483,False,630958.8400000004,102951.46999999955,733910.3099999999,52817399.62999998
G2025072,2026-03-24,Kings,Tuesday,False,17744,True,630048.7399999993,115842.5700000002,745891.3099999995,53563290.93999998
G2025073,2026-03-27,Rockets,Friday,True,18000,True,630489.8999999994,129422.14999999994,759912.0499999993,54323202.98999998
G2025074,2026-03-28,Cavaliers,Saturday,True,17415,False,627223.2500000023,109162.86000000022,736386.1100000025,55059589.09999998
G2025075,2026-03-29,Hornets,Sunday,True,18000,True,631738.1900000002,105597.39999999941,737335.5899999996,55796924.689999975
G2025076,2026-03-31,Pelicans,Tuesday,False,15518,False,632839.28,86193.93999999981,719033.2199999999,56515957.909999974
G2025077,2026-04-03,Hawks,Friday,True,17536,False,624929.8199999989,121065.26999999976,745995.0899999987,57261952.99999997
G2025078,2026-04-04,Bucks,Saturday,True,13524,False,617735.1599999995,88094.49000000024,705829.6499999997,57967782.64999997
G2025079,2026-04-07,Hornets,Tuesday,False,14923,False,619809.64,90327.25999999979,710136.8999999998,58677919.54999997
G2025080,2026-04-08,Pacers,Wednesday,False,15698,False,635833.5499999992,88072.5299999999,723906.0799999991,59401825.629999965
G2025081,2026-04-12,Hawks,Sunday,True,14749,False,624005.8100000019,113061.4799999999,737067.2900000018,60138892.919999965
