game_id,game_date,opponent,day_of_week,is_weekend,final_attendance,is_sellout,game_month,attendance_rate,opponent_avg_draw,predicted_attendance_rate,demand_percentile,recommended_price_adjustment_pct,actual_avg_price,recommended_avg_price,price_gap,revenue_gap_estimate
G2025000,2025-10-21,Pelicans,Tuesday,False,14091,False,10,0.7828333333333334,0.8224722222222223,0.8507375459541809,0.2621951219512195,-7.1,95.39,88.21,-7.180000000000007,0.0
G2025001,2025-10-22,Nuggets,Wednesday,False,15055,False,10,0.8363888888888888,0.8637777777777778,0.813356703489948,0.024390243902439,-14.3,96.05,81.37,-14.679999999999993,0.0
G2025002,2025-10-23,Bucks,Thursday,False,15406,False,10,0.8558888888888889,0.8295370370370371,0.8242609775649445,0.0853658536585365,-12.4,96.05,83.18,-12.86999999999999,0.0
G2025003,2025-10-24,Pacers,Friday,True,13987,False,10,0.7770555555555556,0.8217037037037037,0.883241207922821,0.4939024390243902,-0.2,94.9,94.76,-0.1400000000000005,0.0
G2025004,2025-10-25,Hornets,Saturday,True,18000,True,10,1.0,0.8801111111111112,0.8894740235901608,0.6463414634146342,4.4,95.59,99.13,3.539999999999992,9557.999999999978
G2025005,2025-10-28,Jazz,Tuesday,False,15443,False,10,0.8579444444444444,0.8395486111111111,0.8507375459541809,0.2621951219512195,-7.1,95.51,88.21,-7.300000000000011,0.0
G2025006,2025-10-31,Jazz,Friday,True,14858,False,10,0.8254444444444444,0.8395486111111111,0.883241207922821,0.4939024390243902,-0.2,95.56,94.76,-0.7999999999999972,0.0
G2025007,2025-11-04,76ers,Tuesday,False,16667,False,11,0.9259444444444443,0.9259444444444443,0.8862917278249881,0.573170731707317,2.2,96.01,97.04,1.0300000000000011,2575.0515000000028
G2025008,2025-11-08,Bucks,Saturday,True,15865,False,11,0.8813888888888889,0.8295370370370371,0.925028205460968,0.9878048780487804,14.6,95.81,108.81,13.0,30936.75
G2025009,2025-11-10,Kings,Monday,False,15605,False,11,0.8669444444444444,0.9263611111111112,0.8867753970261913,0.6036585365853658,3.1,95.62,97.89,2.269999999999996,5313.502499999991
G2025010,2025-11-11,Lakers,Tuesday,False,18000,True,11,1.0,0.9592037037037038,0.8862917278249881,0.573170731707317,2.2,95.93,97.04,1.1099999999999994,2996.999999999998
G2025011,2025-11-13,Bulls,Thursday,False,14525,False,11,0.8069444444444445,0.8202361111111112,0.8598151594357517,0.3597560975609756,-4.2,96.06,90.96,-5.1000000000000085,0.0
G2025012,2025-11-14,Knicks,Friday,True,18000,True,11,1.0,0.8576388888888888,0.9187953897936282,0.926829268292683,12.8,95.55,107.11,11.560000000000002,31212.000000000004
G2025013,2025-11-16,Thunder,Sunday,True,15784,False,11,0.8768888888888889,0.8710833333333334,0.9211423899830355,0.9573170731707316,13.7,96.01,107.96,11.949999999999989,28292.81999999997
