game_id,game_date,opponent,section,base_price,demand_percentile,recommended_price_adjustment_pct,recommended_price
G2025000,2025-10-21,Pelicans,S109,95.45,0.262,-7.1,88.67
G2025000,2025-10-21,Pelicans,S114,95.43,0.262,-7.1,88.65
G2025000,2025-10-21,Pelicans,S134,95.43,0.262,-7.1,88.65
G2025000,2025-10-21,Pelicans,S133,95.37,0.262,-7.1,88.6
G2025000,2025-10-21,Pelicans,S127,95.3,0.262,-7.1,88.53
G2025000,2025-10-21,Pelicans,S115,95.25,0.262,-7.1,88.49
G2025000,2025-10-21,Pelicans,S129,95.23,0.262,-7.1,88.47
G2025000,2025-10-21,Pelicans,S118,95.18,0.262,-7.1,88.42
G2025000,2025-10-21,Pelicans,S103,95.17,0.262,-7.1,88.41
G2025000,2025-10-21,Pelicans,S122,95.15,0.262,-7.1,88.39
G2025000,2025-10-21,Pelicans,S110,95.1,0.262,-7.1,88.35
G2025000,2025-10-21,Pelicans,S108,95.09,0.262,-7.1,88.34
G2025000,2025-10-21,Pelicans,S100,95.07,0.262,-7.1,88.32
G2025000,2025-10-21,Pelicans,S101,95.04,0.262,-7.1,88.29
G2025000,2025-10-21,Pelicans,S119,95.01,0.262,-7.1,88.26
G2025000,2025-10-21,Pelicans,S125,94.99,0.262,-7.1,88.25
G2025000,2025-10-21,Pelicans,S123,94.97,0.262,-7.1,88.23
G2025000,2025-10-21,Pelicans,S128,94.95,0.262,-7.1,88.21
G2025000,2025-10-21,Pelicans,S116,94.92,0.262,-7.1,88.18
G2025000,2025-10-21,Pelicans,S121,94.91,0.262,-7.1,88.17
G2025000,2025-10-21,Pelicans,S120,94.88,0.262,-7.1,88.14
G2025000,2025-10-21,Pelicans,S102,94.85,0.262,-7.1,88.12
G2025000,2025-10-21,Pelicans,S124,94.85,0.262,-7.1,88.12
G2025000,2025-10-21,Pelicans,S113,94.82,0.262,-7.1,88.09
G2025000,2025-10-21,Pelicans,S104,94.81,0.262,-7.1,88.08
G2025000,2025-10-21,Pelicans,S131,94.79,0.262,-7.1,88.06
G2025000,2025-10-21,Pelicans,S130,94.79,0.262,-7.1,88.06
G2025000,2025-10-21,Pelicans,S111,94.73,0.262,-7.1,88.0
G2025000,2025-10-21,Pelicans,S126,94.72,0.262,-7.1,87.99
G2025000,2025-10-21,Pelicans,S105,94.61,0.262,-7.1,87.89
G2025000,2025-10-21,Pelicans,S132,94.57,0.262,-7.1,87.86
G2025000,2025-10-21,Pelicans,S107,94.51,0.262,-7.1,87.8
G2025000,2025-10-21,Pelicans,S106,94.48,0.262,-7.1,87.77
G2025000,2025-10-21,Pelicans,S117,94.47,0.262,-7.1,87.76
G2025000,2025-10-21,Pelicans,S112,94.41,0.262,-7.1,87.71
G2025001,2025-10-22,Nuggets,S109,95.45,0.024,-14.3,81.8
G2025001,2025-10-22,Nuggets,S114,95.43,0.024,-14.3,81.78
G2025001,2025-10-22,Nuggets,S134,95.43,0.024,-14.3,81.78
G2025001,2025-10-22,Nuggets,S133,95.37,0.024,-14.3,81.73
G2025001,2025-10-22,Nuggets,S127,95.3,0.024,-14.3,81.67
G2025001,2025-10-22,Nuggets,S115,95.25,0.024,-14.3,81.63
G2025001,2025-10-22,Nuggets,S129,95.23,0.024,-14.3,81.61
G2025001,2025-10-22,Nuggets,S118,95.18,0.024,-14.3,81.57
G2025001,2025-10-22,Nuggets,S103,95.17,0.024,-14.3,81.56
G2025001,2025-10-22,Nuggets,S122,95.15,0.024,-14.3,81.54
G2025001,2025-10-22,Nuggets,S110,95.1,0.024,-14.3,81.5
G2025001,2025-10-22,Nuggets,S108,95.09,0.024,-14.3,81.49
G2025001,2025-10-22,Nuggets,S100,95.07,0.024,-14.3,81.47
G2025001,2025-10-22,Nuggets,S101,95.04,0.024,-14.3,81.45
G2025001,2025-10-22,Nuggets,S119,95.01,0.024,-14.3,81.42
G2025001,2025-10-22,Nuggets,S125,94.99,0.024,-14.3,81.41
G2025001,2025-10-22,Nuggets,S123,94.97,0.024,-14.3,81.39
G2025001,2025-10-22,Nuggets,S128,94.95,0.024,-14.3,81.37
G2025001,2025-10-22,Nuggets,S116,94.92,0.024,-14.3,81.35
G2025001,2025-10-22,Nuggets,S121,94.91,0.024,-14.3,81.34
G2025001,2025-10-22,Nuggets,S120,94.88,0.024,-14.3,81.31
G2025001,2025-10-22,Nuggets,S102,94.85,0.024,-14.3,81.29
