true_fan_id,duplicate_of
TF103219,TF103219
TF118656,TF118656
TF123870,TF123870
TF110983,TF110983
TF124790,TF124790
TF115422,TF115422
TF108780,TF108780
TF104714,TF104714
TF120227,TF120227
TF107928,TF107928
TF101133,TF101133
TF116599,TF116599
TF119300,TF119300
TF118233,TF118233
TF119074,TF119074
TF101151,TF101151
TF115675,TF115675
TF124007,TF124007
TF104934,TF104934
TF111031,TF111031
TF109748,TF109748
TF115649,TF115649
TF121012,TF121012
TF118445,TF118445
TF113302,TF113302
TF109397,TF109397
TF102526,TF102526
TF101250,TF101250
TF104037,TF104037
TF119653,TF119653
TF121464,TF121464
TF103452,TF103452
TF105272,TF105272
TF124672,TF124672
TF124625,TF124625
TF109926,TF109926
TF110184,TF110184
TF118459,TF118459
TF123975,TF123975
TF102228,TF102228
TF100934,TF100934
TF121064,TF121064
TF120990,TF120990
TF122004,TF122004
TF106783,TF106783
TF102044,TF102044
TF124876,TF124876
TF113892,TF113892
TF111295,TF111295
TF111545,TF111545
TF122001,TF122001
TF120398,TF120398
TF119312,TF119312
TF117212,TF117212
TF118265,TF118265
TF101773,TF101773
TF104373,TF104373
TF123208,TF123208
TF118826,TF118826
TF111645,TF111645
TF102610,TF102610
TF110155,TF110155
TF114190,TF114190
TF115523,TF115523
TF120106,TF120106
TF107729,TF107729
TF103961,TF103961
TF118813,TF118813
TF109954,TF109954
TF110406,TF110406
TF112454,TF112454
TF108885,TF108885
TF123904,TF123904
TF115233,TF115233
TF122739,TF122739
TF106595,TF106595
TF116426,TF116426
TF116355,TF116355
TF116192,TF116192
TF104250,TF104250
TF115135,TF115135
TF102307,TF102307
TF121250,TF121250
TF112016,TF112016
TF106302,TF106302
TF111192,TF111192
TF122162,TF122162
TF117804,TF117804
TF103993,TF103993
TF111088,TF111088
TF119414,TF119414
TF115743,TF115743
TF110578,TF110578
TF114079,TF114079
TF101969,TF101969
TF123249,TF123249
TF123064,TF123064
TF102696,TF102696
TF113538,TF113538
TF101879,TF101879
TF112884,TF112884
TF114146,TF114146
TF117507,TF117507
TF117887,TF117887
TF119864,TF119864
TF107674,TF107674
TF116788,TF116788
TF118159,TF118159
TF113425,TF113425
TF113431,TF113431
TF114676,TF114676
TF106944,TF106944
TF109781,TF109781
TF124103,TF124103
TF109905,TF109905
TF108924,TF108924
TF120252,TF120252
TF101641,TF101641
TF106555,TF106555
TF104176,TF104176
TF114068,TF114068
TF104699,TF104699
TF117485,TF117485
TF109970,TF109970
TF105572,TF105572
TF118298,TF118298
TF115676,TF115676
TF121370,TF121370
TF123627,TF123627
TF120914,TF120914
TF113948,TF113948
TF123865,TF123865
TF116850,TF116850
TF117259,TF117259
TF123324,TF123324
TF114407,TF114407
TF106439,TF106439
TF116890,TF116890
TF111964,TF111964
TF123330,TF123330
TF114341,TF114341
TF123273,TF123273
TF115557,TF115557
TF117576,TF117576
TF103548,TF103548
TF119435,TF119435
TF106387,TF106387
TF105102,TF105102
TF108436,TF108436
TF111875,TF111875
TF102182,TF102182
TF121910,TF121910
TF114664,TF114664
TF121398,TF121398
TF117889,TF117889
TF117973,TF117973
TF121315,TF121315
TF114794,TF114794
TF116490,TF116490
TF123041,TF123041
TF107775,TF107775
TF118124,TF118124
TF119396,TF119396
TF118682,TF118682
TF109596,TF109596
TF123518,TF123518
TF106760,TF106760
TF109146,TF109146
TF101398,TF101398
TF104035,TF104035
