true_fan_id,ticketmaster_shadow_id
TF108994,TM900000
TF109914,TM900001
TF112133,TM900002
TF107176,TM900003
TF110888,TM900004
TF115234,TM900005
TF108034,TM900006
TF117293,TM900007
TF119144,TM900008
TF108873,TM900009
TF121929,TM900010
TF117051,TM900011
TF112402,TM900012
TF120422,TM900013
TF108768,TM900014
TF116956,TM900015
TF110264,TM900016
TF103490,TM900017
TF118927,TM900018
TF110994,TM900019
TF112726,TM900020
TF109663,TM900021
TF112486,TM900022
TF103912,TM900023
TF121994,TM900024
TF105494,TM900025
TF107266,TM900026
TF123919,TM900027
TF108838,TM900028
TF112355,TM900029
TF121440,TM900030
TF109065,TM900031
TF122099,TM900032
TF106394,TM900033
TF123946,TM900034
TF114558,TM900035
TF104444,TM900036
TF110710,TM900037
TF121761,TM900038
TF106562,TM900039
TF111824,TM900040
TF113859,TM900041
TF104109,TM900042
TF106635,TM900043
TF120701,TM900044
TF101486,TM900045
TF115726,TM900046
TF116783,TM900047
TF114135,TM900048
TF116547,TM900049
TF111918,TM900050
TF101820,TM900051
TF109904,TM900052
TF120474,TM900053
TF102538,TM900054
TF123680,TM900055
TF124578,TM900056
TF106974,TM900057
TF113044,TM900058
TF107016,TM900059
TF121966,TM900060
TF118209,TM900061
TF105844,TM900062
TF111282,TM900063
TF105823,TM900064
TF119867,TM900065
TF119749,TM900066
TF106345,TM900067
TF117537,TM900068
TF106447,TM900069
TF107697,TM900070
TF115011,TM900071
TF100201,TM900072
TF101621,TM900073
TF114163,TM900074
TF124092,TM900075
TF105631,TM900076
TF111756,TM900077
TF114336,TM900078
TF122922,TM900079
TF123580,TM900080
TF114925,TM900081
TF115686,TM900082
TF123359,TM900083
TF122490,TM900084
TF115648,TM900085
TF124471,TM900086
TF121527,TM900087
TF114160,TM900088
TF116028,TM900089
TF113747,TM900090
TF102144,TM900091
TF102040,TM900092
TF113216,TM900093
TF100906,TM900094
TF123568,TM900095
TF112079,TM900096
TF111519,TM900097
TF103171,TM900098
TF106812,TM900099
TF106167,TM900100
TF124307,TM900101
TF108276,TM900102
TF112228,TM900103
TF123013,TM900104
TF103481,TM900105
TF102991,TM900106
TF103484,TM900107
TF120618,TM900108
TF119308,TM900109
TF106763,TM900110
TF102756,TM900111
TF105676,TM900112
TF106271,TM900113
TF120685,TM900114
TF114124,TM900115
TF117205,TM900116
TF122728,TM900117
TF103203,TM900118
TF116266,TM900119
TF107512,TM900120
TF123798,TM900121
TF120027,TM900122
TF120312,TM900123
TF122126,TM900124
TF107435,TM900125
TF122046,TM900126
TF105911,TM900127
TF105709,TM900128
TF112075,TM900129
TF111796,TM900130
TF122633,TM900131
TF107703,TM900132
TF104864,TM900133
TF121302,TM900134
TF121458,TM900135
TF100814,TM900136
TF106810,TM900137
TF110117,TM900138
TF118112,TM900139
TF116565,TM900140
TF113981,TM900141
TF109632,TM900142
TF112107,TM900143
TF111505,TM900144
TF115374,TM900145
TF124059,TM900146
TF123575,TM900147
TF117435,TM900148
TF122831,TM900149
TF107736,TM900150
TF108765,TM900151
TF113195,TM900152
TF119485,TM900153
TF100910,TM900154
TF121258,TM900155
TF117457,TM900156
TF124764,TM900157
TF110775,TM900158
TF101999,TM900159
TF115466,TM900160
TF105347,TM900161
TF110932,TM900162
TF115537,TM900163
TF103590,TM900164
TF110915,TM900165
TF118988,TM900166
TF123499,TM900167
TF118179,TM900168
TF103865,TM900169
TF122387,TM900170
TF109959,TM900171
TF102807,TM900172
TF110627,TM900173
TF112682,TM900174
TF109348,TM900175
TF101998,TM900176
TF110897,TM900177
TF108091,TM900178
TF107975,TM900179
TF118755,TM900180
TF112493,TM900181
TF123374,TM900182
TF106940,TM900183
TF106899,TM900184
TF104043,TM900185
TF105063,TM900186
TF121011,TM900187
TF100674,TM900188
TF109031,TM900189
TF120509,TM900190
TF118082,TM900191
TF115568,TM900192
TF108009,TM900193
TF121689,TM900194
TF101740,TM900195
TF116439,TM900196
TF121215,TM900197
TF110505,TM900198
TF123670,TM900199
TF102951,TM900200
TF122160,TM900201
TF121474,TM900202
TF106245,TM900203
TF101599,TM900204
TF114089,TM900205
TF124244,TM900206
TF121060,TM900207
TF120427,TM900208
TF123817,TM900209
TF124208,TM900210
TF114875,TM900211
TF112948,TM900212
TF104366,TM900213
TF105448,TM900214
TF103506,TM900215
TF123965,TM900216
TF123375,TM900217
TF105098,TM900218
TF124021,TM900219
TF111242,TM900220
TF100600,TM900221
TF117212,TM900222
TF102321,TM900223
TF117324,TM900224
TF116539,TM900225
TF121066,TM900226
TF122899,TM900227
TF114044,TM900228
TF108426,TM900229
TF110586,TM900230
TF124658,TM900231
TF123272,TM900232
TF106384,TM900233
TF102049,TM900234
TF116023,TM900235
TF103980,TM900236
TF122417,TM900237
TF123276,TM900238
TF103870,TM900239
TF122338,TM900240
TF114402,TM900241
TF112078,TM900242
TF121254,TM900243
TF109029,TM900244
TF107770,TM900245
TF103245,TM900246
TF118013,TM900247
TF101694,TM900248
TF121718,TM900249
TF106203,TM900250
TF107329,TM900251
TF122103,TM900252
TF124956,TM900253
TF110281,TM900254
TF103956,TM900255
TF113085,TM900256
TF106517,TM900257
