true_fan_id,ticketmaster_customer_id
TF100000,TM700000
TF100001,TM700001
TF100002,TM700002
TF100003,TM700003
TF100004,TM700004
TF100005,TM700005
TF100006,TM700006
TF100007,TM700007
TF100008,TM700008
TF100009,TM700009
TF100010,TM700010
TF100011,TM700011
TF100012,TM700012
TF100013,TM700013
TF100014,TM700014
TF100015,TM700015
TF100016,TM700016
TF100017,TM700017
TF100018,TM700018
TF100019,TM700019
TF100020,TM700020
TF100021,TM700021
TF100022,TM700022
TF100023,TM700023
TF100024,TM700024
TF100025,TM700025
TF100026,TM700026
TF100027,TM700027
TF100028,TM700028
TF100029,TM700029
TF100030,TM700030
TF100031,TM700031
TF100032,TM700032
TF100033,TM700033
TF100034,TM700034
TF100035,TM700035
TF100036,TM700036
TF100037,TM700037
TF100038,TM700038
TF100039,TM700039
TF100040,TM700040
TF100041,TM700041
TF100042,TM700042
TF100043,TM700043
TF100044,TM700044
TF100045,TM700045
TF100046,TM700046
TF100047,TM700047
TF100048,TM700048
TF100049,TM700049
TF100050,TM700050
TF100051,TM700051
TF100052,TM700052
TF100053,TM700053
TF100054,TM700054
TF100055,TM700055
TF100056,TM700056
TF100057,TM700057
TF100058,TM700058
TF100059,TM700059
TF100060,TM700060
TF100061,TM700061
TF100062,TM700062
TF100063,TM700063
TF100064,TM700064
TF100065,TM700065
TF100066,TM700066
TF100067,TM700067
TF100068,TM700068
TF100069,TM700069
TF100070,TM700070
TF100071,TM700071
TF100072,TM700072
TF100073,TM700073
TF100074,TM700074
TF100075,TM700075
TF100076,TM700076
TF100077,TM700077
TF100078,TM700078
TF100079,TM700079
TF100080,TM700080
TF100081,TM700081
TF100082,TM700082
TF100083,TM700083
TF100084,TM700084
TF100085,TM700085
TF100086,TM700086
TF100087,TM700087
TF100088,TM700088
TF100089,TM700089
TF100090,TM700090
TF100091,TM700091
TF100092,TM700092
TF100093,TM700093
TF100094,TM700094
TF100095,TM700095
TF100096,TM700096
TF100097,TM700097
TF100098,TM700098
TF100099,TM700099
TF100100,TM700100
TF100101,TM700101
TF100102,TM700102
TF100103,TM700103
TF100104,TM700104
TF100105,TM700105
TF100106,TM700106
TF100107,TM700107
TF100108,TM700108
TF100109,TM700109
TF100110,TM700110
TF100111,TM700111
TF100112,TM700112
TF100113,TM700113
TF100114,TM700114
TF100115,TM700115
TF100116,TM700116
TF100117,TM700117
TF100118,TM700118
TF100119,TM700119
TF100120,TM700120
TF100121,TM700121
TF100122,TM700122
TF100123,TM700123
TF100124,TM700124
TF100125,TM700125
TF100126,TM700126
TF100127,TM700127
TF100128,TM700128
TF100129,TM700129
TF100130,TM700130
TF100131,TM700131
TF100132,TM700132
TF100133,TM700133
TF100134,TM700134
TF100135,TM700135
TF100136,TM700136
TF100137,TM700137
TF100138,TM700138
TF100139,TM700139
TF100140,TM700140
TF100141,TM700141
TF100142,TM700142
TF100143,TM700143
TF100144,TM700144
TF100145,TM700145
TF100146,TM700146
TF100147,TM700147
TF100148,TM700148
TF100149,TM700149
TF100150,TM700150
TF100151,TM700151
TF100152,TM700152
TF100153,TM700153
TF100154,TM700154
TF100155,TM700155
TF100156,TM700156
TF100157,TM700157
TF100158,TM700158
TF100159,TM700159
TF100160,TM700160
TF100161,TM700161
TF100162,TM700162
TF100163,TM700163
TF100164,TM700164
TF100165,TM700165
TF100166,TM700166
TF100167,TM700167
TF100168,TM700168
TF100169,TM700169
TF100170,TM700170
TF100171,TM700171
TF100172,TM700172
TF100173,TM700173
TF100174,TM700174
TF100175,TM700175
TF100176,TM700176
TF100177,TM700177
TF100178,TM700178
TF100179,TM700179
TF100180,TM700180
TF100181,TM700181
TF100182,TM700182
TF100183,TM700183
TF100184,TM700184
TF100185,TM700185
TF100186,TM700186
TF100187,TM700187
TF100188,TM700188
TF100189,TM700189
TF100190,TM700190
TF100191,TM700191
TF100192,TM700192
TF100193,TM700193
TF100194,TM700194
TF100195,TM700195
TF100196,TM700196
TF100197,TM700197
TF100198,TM700198
TF100199,TM700199
TF100200,TM700200
TF100201,TM700201
TF100202,TM700202
TF100203,TM700203
TF100204,TM700204
TF100205,TM700205
TF100206,TM700206
TF100207,TM700207
TF100208,TM700208
TF100209,TM700209
TF100210,TM700210
TF100211,TM700211
TF100212,TM700212
TF100213,TM700213
TF100214,TM700214
TF100215,TM700215
TF100216,TM700216
TF100217,TM700217
TF100218,TM700218
TF100219,TM700219
TF100220,TM700220
TF100221,TM700221
TF100222,TM700222
TF100223,TM700223
TF100224,TM700224
TF100225,TM700225
TF100226,TM700226
TF100227,TM700227
TF100228,TM700228
TF100229,TM700229
TF100230,TM700230
TF100231,TM700231
TF100232,TM700232
TF100233,TM700233
TF100234,TM700234
TF100235,TM700235
TF100236,TM700236
TF100237,TM700237
TF100238,TM700238
TF100239,TM700239
TF100240,TM700240
TF100241,TM700241
TF100242,TM700242
TF100243,TM700243
TF100244,TM700244
TF100245,TM700245
TF100246,TM700246
TF100247,TM700247
TF100248,TM700248
TF100249,TM700249
TF100250,TM700250
TF100251,TM700251
TF100252,TM700252
TF100253,TM700253
TF100254,TM700254
TF100255,TM700255
TF100256,TM700256
TF100257,TM700257
TF100258,TM700258
TF100259,TM700259
TF100260,TM700260
TF100261,TM700261
TF100262,TM700262
TF100263,TM700263
TF100264,TM700264
TF100265,TM700265
TF100266,TM700266
TF100267,TM700267
TF100268,TM700268
TF100269,TM700269
TF100270,TM700270
TF100271,TM700271
TF100272,TM700272
