sth_account_id,fan_id,churn_risk_score,reason_codes,prior_season_renewal_status
STH500789,TF102286,0.1,low email engagement,renewed
STH504669,TF113734,37.3,"low game attendance, low total spend",renewed
STH500603,TF101703,0.3,low spend per game,renewed
STH503763,TF110994,0.2,"few emails received, tenure",renewed
STH502909,TF108435,85.1,"low total spend, low game attendance",not_renewed
STH502263,TF106581,0.2,few emails received,renewed
STH506669,TF119792,0.0,low spend per game,renewed
STH501465,TF104269,0.2,low email engagement,renewed
STH506190,TF118352,0.1,low spend per game,renewed
STH506150,TF118248,0.1,low spend per game,renewed
STH503094,TF109000,0.1,few emails received,renewed
STH504695,TF113822,84.8,"low total spend, low game attendance",not_renewed
STH502544,TF107400,0.1,tenure,renewed
STH505714,TF117037,0.1,few emails received,renewed
STH501416,TF104148,0.2,"low spend per game, low email engagement",renewed
STH502770,TF108043,0.1,tenure,renewed
STH506103,TF118139,0.1,few emails received,renewed
STH503189,TF109281,0.1,no dominant single factor,renewed
STH501948,TF105718,0.3,"few emails received, tenure",renewed
STH507916,TF123280,0.5,tenure,renewed
STH500798,TF102305,0.2,low spend per game,renewed
STH504435,TF113035,12.3,"low total spend, tenure",renewed
STH505400,TF116067,0.2,few emails received,renewed
STH501294,TF103818,0.1,few emails received,renewed
STH506741,TF119979,0.1,no dominant single factor,renewed
STH508104,TF123829,0.1,"low email engagement, low spend per game",renewed
STH503371,TF109828,0.1,tenure,renewed
STH505982,TF117810,32.1,"low game attendance, low total spend",renewed
STH507729,TF122739,0.1,"long gap since last game attended, low spend per game",renewed
STH508251,TF124241,3.6,low email engagement,renewed
STH505389,TF116031,0.1,"tenure, low spend per game",renewed
STH504182,TF112242,0.6,low spend per game,renewed
STH500977,TF102865,0.1,"low email engagement, few emails received",renewed
STH503668,TF110737,0.1,no dominant single factor,renewed
STH502763,TF108022,0.1,low spend per game,renewed
STH500073,TF100233,1.9,low spend per game,renewed
STH502478,TF107238,0.2,"long gap since last game attended, tenure",renewed
STH504694,TF113816,0.1,tenure,renewed
STH507645,TF122514,0.2,"low email engagement, low spend per game",renewed
STH502322,TF106783,9.4,"low total spend, low game attendance",renewed
STH502226,TF106482,0.1,long gap since last game attended,renewed
STH508396,TF124673,0.4,"tenure, low email engagement",renewed
STH501384,TF104050,0.1,low spend per game,renewed
STH502889,TF108378,0.4,"low email engagement, tenure",renewed
STH507635,TF122478,0.2,"low email engagement, low spend per game",renewed
STH503277,TF109532,0.6,"long gap since last game attended, low email engagement",renewed
STH502094,TF106133,0.1,few emails received,renewed
STH505439,TF116198,4.9,low email engagement,renewed
STH505668,TF116921,0.1,no dominant single factor,renewed
STH505492,TF116355,0.0,no dominant single factor,renewed
STH501772,TF105195,0.2,tenure,renewed
STH501109,TF103245,7.7,"low total spend, long gap since last game attended",renewed
STH504177,TF112234,7.4,few emails received,renewed
STH504343,TF112744,7.2,low spend per game,renewed
