sth_account_id,fan_id,membership_tier,tenure_years,predicted_annual_spend,churn_probability,implied_lifetime_years,clv
STH503916,TF111449,Bronze,3,7676.733044183195,0.02,12.0,92121.0
STH500916,TF102666,Bronze,3,7673.757099079259,0.02,12.0,92085.0
STH507902,TF123244,Bronze,6,7671.639227710795,0.02,12.0,92060.0
STH507061,TF120873,Bronze,8,7669.4956286869665,0.02,12.0,92034.0
STH500099,TF100282,Silver,2,7668.696267460517,0.02,12.0,92024.0
STH508076,TF123768,Silver,3,7665.0472343424735,0.02,12.0,91981.0
STH506887,TF120395,Silver,2,7663.269913335486,0.02,12.0,91959.0
STH502715,TF107883,Silver,6,7662.1617120538285,0.02,12.0,91946.0
STH507146,TF121128,Gold,3,7661.874765516362,0.02,12.0,91942.0
STH505361,TF115940,Bronze,5,7649.1755194855905,0.02,12.0,91790.0
STH503272,TF109518,Platinum,7,7604.635487908203,0.02,12.0,91256.0
STH505488,TF116342,Platinum,2,7591.173524455825,0.02,12.0,91094.0
STH502142,TF106273,Platinum,2,7586.896849822616,0.02,12.0,91043.0
STH505900,TF117549,Bronze,5,7581.16721804895,0.02,12.0,90974.0
STH504562,TF113422,Platinum,8,7578.076064796563,0.02,12.0,90937.0
STH503714,TF110853,Gold,2,7577.379334698519,0.02,12.0,90929.0
STH504203,TF112312,Bronze,6,7577.0467997047135,0.02,12.0,90925.0
STH501943,TF105698,Bronze,8,7575.821747652503,0.02,12.0,90910.0
STH503375,TF109833,Bronze,8,7574.856254856599,0.02,12.0,90898.0
STH507654,TF122532,Bronze,5,7572.921381708563,0.02,12.0,90875.0
STH502765,TF108031,Gold,5,7572.7657124687485,0.02,12.0,90873.0
STH506823,TF120227,Silver,6,7572.073254695133,0.02,12.0,90865.0
STH503396,TF109914,Bronze,3,7571.835672244639,0.02,12.0,90862.0
STH502252,TF106551,Bronze,7,7571.384543080896,0.02,12.0,90857.0
STH507195,TF121286,Silver,3,7570.883443238429,0.02,12.0,90851.0
STH504600,TF113546,Gold,8,7570.509901740661,0.02,12.0,90846.0
STH503224,TF109384,Bronze,5,7570.377778212455,0.02,12.0,90845.0
STH507286,TF121508,Gold,9,7569.710188156307,0.02,12.0,90837.0
STH501521,TF104431,Gold,6,7569.185649030517,0.02,12.0,90830.0
STH507634,TF122476,Bronze,4,7568.783424607086,0.02,12.0,90825.0
STH506949,TF120546,Silver,3,7568.488893219318,0.02,12.0,90822.0
STH503759,TF110977,Bronze,6,7568.055651607783,0.02,12.0,90817.0
STH501444,TF104219,Silver,3,7567.976467814306,0.02,12.0,90816.0
STH506207,TF118415,Silver,3,7568.02481455788,0.02,12.0,90816.0
STH500021,TF100049,Bronze,8,7567.920759711176,0.02,12.0,90815.0
STH504556,TF113400,Silver,5,7567.301176640137,0.02,12.0,90808.0
STH502396,TF106978,Silver,4,7567.247520798213,0.02,12.0,90807.0
STH501733,TF105074,Silver,2,7566.944414192304,0.02,12.0,90803.0
STH500469,TF101343,Silver,3,7565.775716156802,0.02,12.0,90789.0
STH500456,TF101299,Gold,2,7565.421050514089,0.02,12.0,90785.0
STH501094,TF103203,Gold,5,7565.442414906455,0.02,12.0,90785.0
STH505062,TF115019,Bronze,9,7565.059549669904,0.032,12.0,90781.0
STH505026,TF114926,Bronze,9,7564.478635632569,0.02,12.0,90774.0
STH500675,TF101906,Silver,6,7564.286358423262,0.02,12.0,90771.0
STH507291,TF121517,Bronze,7,7564.196115673405,0.02,12.0,90770.0
STH500790,TF102289,Silver,9,7564.124929989045,0.039,12.0,90769.0
STH503966,TF111605,Gold,6,7564.098442038301,0.02,12.0,90769.0
STH506622,TF119653,Silver,8,7562.711895113678,0.02,12.0,90753.0
STH507304,TF121561,Gold,8,7561.906291891676,0.02,12.0,90743.0
STH503798,TF111107,Silver,8,7560.397055209357,0.02,12.0,90725.0
STH503330,TF109697,Silver,4,7559.620415015679,0.02,12.0,90715.0
STH507337,TF121662,Silver,3,7559.255541541934,0.02,12.0,90711.0
STH508472,TF124913,Bronze,9,7559.052281507538,0.02,12.0,90709.0
STH505177,TF115371,Gold,9,7558.928246474507,0.02,12.0,90707.0
STH508334,TF124488,Silver,9,7558.2174717715425,0.02,12.0,90699.0
STH500310,TF100857,Silver,5,7555.971381897635,0.02,12.0,90672.0
STH503578,TF110454,Bronze,5,7497.438900825422,0.02,12.0,89969.0
STH505919,TF117624,Platinum,9,7495.950648477253,0.02,12.0,89951.0
STH505405,TF116095,Platinum,3,7494.510379725558,0.02,12.0,89934.0
STH502088,TF106114,Platinum,8,7493.772620069221,0.02,12.0,89925.0
STH508212,TF124136,Platinum,6,7490.269845250755,0.02,12.0,89883.0
STH503376,TF109836,Gold,2,7487.021922005448,0.02,12.0,89844.0
STH503994,TF111708,Gold,3,7486.2929749893565,0.02,12.0,89836.0
STH507263,TF121452,Bronze,3,7485.582186310844,0.02,12.0,89827.0
STH505721,TF117055,Bronze,3,7485.181567652912,0.02,12.0,89822.0
STH504058,TF111900,Bronze,2,7485.177863853074,0.02,12.0,89822.0
STH504007,TF111755,Bronze,4,7484.853239294752,0.02,12.0,89818.0
STH501770,TF105188,Platinum,8,7484.1944199927775,0.02,12.0,89810.0
STH503958,TF111591,Bronze,3,7483.28462421565,0.02,12.0,89799.0
STH503670,TF110740,Silver,7,7482.580649344371,0.02,12.0,89791.0
STH501072,TF103136,Silver,3,7482.337808060568,0.02,12.0,89788.0
STH502606,TF107578,Platinum,8,7482.0548678178875,0.02,12.0,89785.0
STH508217,TF124144,Bronze,5,7481.826730183466,0.02,12.0,89782.0
STH504995,TF114827,Gold,4,7481.869367566258,0.02,12.0,89782.0
STH507052,TF120848,Bronze,3,7481.7900963247685,0.02,12.0,89781.0
STH506955,TF120563,Bronze,3,7481.165952915787,0.02,12.0,89774.0
STH502904,TF108415,Silver,3,7481.024256268584,0.02,12.0,89772.0
STH500509,TF101454,Bronze,2,7480.955545770167,0.02,12.0,89771.0
STH503377,TF109841,Bronze,9,7480.807885556361,0.02,12.0,89770.0
STH500271,TF100739,Silver,8,7480.6330531566455,0.02,12.0,89768.0
STH506354,TF118891,Bronze,2,7480.636918726762,0.02,12.0,89768.0
STH504587,TF113511,Bronze,8,7480.456122760444,0.02,12.0,89765.0
STH500215,TF100588,Silver,6,7479.918125032318,0.02,12.0,89759.0
STH500105,TF100304,Bronze,7,7479.899159070426,0.02,12.0,89759.0
STH508355,TF124543,Bronze,3,7479.907971710671,0.02,12.0,89759.0
STH500393,TF101095,Bronze,4,7479.179024694578,0.02,12.0,89750.0
STH502074,TF106065,Bronze,2,7479.127572012716,0.02,12.0,89750.0
STH505144,TF115259,Silver,8,7479.000585906139,0.02,12.0,89748.0
STH508413,TF124729,Bronze,8,7478.806862312097,0.02,12.0,89746.0
STH502725,TF107905,Bronze,5,7478.450077678486,0.02,12.0,89741.0
STH503262,TF109490,Silver,9,7478.271638890047,0.02,12.0,89739.0
STH502910,TF108439,Silver,9,7477.731283984042,0.02,12.0,89733.0
STH506503,TF119331,Silver,9,7477.731283984042,0.02,12.0,89733.0
STH504102,TF112020,Silver,9,7476.998633168112,0.02,12.0,89724.0
STH505772,TF117183,Bronze,4,7477.029761813117,0.02,12.0,89724.0
STH501954,TF105742,Bronze,8,7476.682467560209,0.02,12.0,89720.0
STH505020,TF114913,Bronze,2,7476.189245539193,0.02,12.0,89714.0
STH502483,TF107250,Silver,8,7476.149469483999,0.02,12.0,89714.0
STH500927,TF102695,Gold,9,7475.65811505623,0.02,12.0,89708.0
STH504170,TF112219,Bronze,9,7475.534289614118,0.02,12.0,89706.0
STH508287,TF124336,Bronze,6,7475.336299509563,0.02,12.0,89704.0
STH502166,TF106333,Bronze,3,7474.800244629044,0.02,12.0,89698.0
STH504923,TF114577,Bronze,7,7474.5976336271915,0.02,12.0,89695.0
STH507564,TF122309,Bronze,7,7474.5976336271915,0.02,12.0,89695.0
STH506951,TF120549,Silver,7,7474.234209117389,0.02,12.0,89691.0
STH504222,TF112362,Silver,4,7473.978050556151,0.02,12.0,89688.0
STH506768,TF120054,Bronze,5,7473.78210161627,0.02,12.0,89685.0
STH507404,TF121865,Gold,2,7473.577182854654,0.02,12.0,89683.0
STH505027,TF114928,Silver,5,7473.24910354006,0.02,12.0,89679.0
STH500357,TF100985,Silver,8,7473.186635057892,0.02,12.0,89678.0
STH507417,TF121893,Bronze,6,7473.053154600178,0.02,12.0,89677.0
STH505632,TF116815,Bronze,6,7473.053154600178,0.02,12.0,89677.0
STH505436,TF116182,Gold,5,7472.899688520424,0.02,12.0,89675.0
STH507033,TF120810,Silver,9,7472.776315085205,0.02,12.0,89673.0
STH505945,TF117700,Gold,6,7472.511027838849,0.02,12.0,89670.0
STH502674,TF107775,Silver,9,7472.4576880418,0.02,12.0,89669.0
STH506933,TF120504,Bronze,7,7472.324207584085,0.02,12.0,89668.0
STH503579,TF110456,Gold,2,7472.179554144576,0.02,12.0,89666.0
STH507239,TF121392,Bronze,7,7472.091365604111,0.02,12.0,89665.0
STH502132,TF106245,Silver,8,7471.677288343846,0.02,12.0,89660.0
STH507924,TF123306,Gold,3,7471.450607128485,0.02,12.0,89657.0
STH503978,TF111658,Silver,8,7471.062262491783,0.02,12.0,89653.0
STH507109,TF121021,Bronze,6,7471.049906010074,0.02,12.0,89653.0
STH503320,TF109667,Silver,7,7471.008606649861,0.02,12.0,89652.0
STH506848,TF120288,Bronze,6,7470.872989589419,0.02,12.0,89650.0
STH507655,TF122541,Silver,5,7470.705500043951,0.02,12.0,89648.0
STH508435,TF124789,Gold,9,7470.403131386056,0.02,12.0,89645.0
STH504140,TF112135,Silver,9,7470.333315475692,0.02,12.0,89644.0
STH504005,TF111749,Silver,8,7470.2796596337685,0.02,12.0,89643.0
STH502292,TF106682,Silver,6,7469.976553027859,0.02,12.0,89640.0
STH502157,TF106316,Silver,3,7468.539080768017,0.02,12.0,89622.0
STH500910,TF102652,Bronze,6,7468.485497952738,0.02,12.0,89622.0
STH504202,TF112310,Gold,4,7467.814684688269,0.02,12.0,89614.0
STH507258,TF121442,Silver,8,7467.372684209645,0.02,12.0,89608.0
STH508390,TF124652,Gold,2,7466.7942401983655,0.02,12.0,89602.0
STH507422,TF121912,Gold,7,7466.773818426023,0.02,12.0,89601.0
STH500412,TF101140,Silver,3,7466.297288931694,0.02,12.0,89596.0
STH505318,TF115800,Gold,8,7465.605120390522,0.02,12.0,89587.0
STH508493,TF124978,Bronze,7,7465.362571175603,0.02,12.0,89584.0
STH506518,TF119367,Silver,9,7465.246108483475,0.02,12.0,89583.0
STH503950,TF111570,Silver,4,7464.909236699081,0.02,12.0,89579.0
STH503708,TF110840,Bronze,8,7463.9644500796685,0.02,12.0,89568.0
STH506494,TF119300,Silver,9,7463.736761769428,0.02,12.0,89565.0
STH505581,TF116627,Silver,8,7463.431452003458,0.02,12.0,89561.0
STH503563,TF110424,Gold,9,7463.142247507444,0.02,12.0,89558.0
STH505324,TF115821,Silver,9,7462.478958050538,0.02,12.0,89550.0
STH500478,TF101379,Bronze,9,7462.287031344946,0.02,12.0,89547.0
STH501494,TF104364,Gold,9,7460.7482677464,0.02,12.0,89529.0
STH504961,TF114704,Gold,9,7457.685113905515,0.02,12.0,89492.0
STH506445,TF119136,Silver,8,7456.424784924115,0.02,12.0,89477.0
STH502323,TF106784,Platinum,2,7420.17607678851,0.02,12.0,89042.0
STH506096,TF118121,Silver,5,7400.3102261530275,0.02,12.0,88804.0
STH507829,TF123013,Silver,5,7396.907352292392,0.02,12.0,88763.0
STH508474,TF124919,Platinum,8,7396.2266083086215,0.02,12.0,88755.0
STH502545,TF107401,Platinum,9,7393.690074509819,0.02,12.0,88724.0
STH503326,TF109685,Bronze,6,7392.473861080779,0.02,12.0,88710.0
STH504896,TF114488,Platinum,3,7391.73738035311,0.02,12.0,88701.0
STH506519,TF119370,Bronze,3,7391.669849458842,0.02,12.0,88700.0
STH505741,TF117113,Gold,4,7391.204464132936,0.02,12.0,88694.0
STH501213,TF103583,Platinum,7,7390.871293908794,0.02,12.0,88690.0
STH507379,TF121783,Silver,4,7390.715417292571,0.02,12.0,88689.0
STH502955,TF108567,Bronze,9,7389.722948543785,0.02,12.0,88677.0
STH502015,TF105912,Bronze,9,7389.722948543785,0.02,12.0,88677.0
STH502918,TF108471,Bronze,2,7389.491821050809,0.02,12.0,88674.0
STH503540,TF110361,Silver,4,7389.496768120937,0.02,12.0,88674.0
STH504412,TF112980,Silver,6,7389.397259508461,0.02,12.0,88673.0
STH507921,TF123302,Bronze,7,7388.754061394474,0.02,12.0,88665.0
STH504825,TF114255,Silver,3,7388.593247886523,0.02,12.0,88663.0
STH506605,TF119593,Platinum,9,7388.263720384788,0.02,12.0,88659.0
STH507991,TF123471,Bronze,5,7387.304980002534,0.02,12.0,88648.0
STH501345,TF103939,Bronze,2,7386.925131961203,0.02,12.0,88643.0
STH500785,TF102279,Platinum,9,7386.848991819274,0.02,12.0,88642.0
STH507928,TF123313,Bronze,6,7386.700861668239,0.02,12.0,88640.0
STH505018,TF114892,Bronze,2,7386.584845626686,0.02,12.0,88639.0
STH504113,TF112052,Bronze,6,7386.2126832442045,0.02,12.0,88635.0
STH506040,TF117978,Silver,3,7386.155949543256,0.02,12.0,88634.0
STH500157,TF100430,Bronze,7,7385.971914652147,0.02,12.0,88632.0
STH505820,TF117309,Silver,3,7385.6862724624,0.02,12.0,88628.0
STH501463,TF104265,Bronze,6,7385.551182176417,0.02,12.0,88627.0
STH504959,TF114700,Bronze,7,7385.483736228113,0.02,12.0,88626.0
STH504535,TF113342,Gold,5,7385.006414667656,0.02,12.0,88620.0
STH504713,TF113880,Bronze,9,7384.858869019022,0.02,12.0,88618.0
STH503339,TF109722,Bronze,5,7384.7166316218145,0.02,12.0,88617.0
STH501227,TF103615,Bronze,5,7384.7166316218145,0.02,12.0,88617.0
STH508082,TF123783,Bronze,5,7384.7166316218145,0.02,12.0,88617.0
STH507053,TF120850,Silver,8,7384.4081579000585,0.02,12.0,88613.0
STH503363,TF109793,Bronze,5,7384.39800457841,0.02,12.0,88613.0
STH508389,TF124651,Bronze,9,7384.025842195929,0.02,12.0,88608.0
STH500873,TF102549,Bronze,3,7383.802205184067,0.02,12.0,88606.0
STH505055,TF114995,Gold,6,7383.392264346498,0.02,12.0,88601.0
STH507618,TF122444,Silver,3,7383.1195833727925,0.02,12.0,88597.0
STH500901,TF102635,Gold,3,7382.849135134419,0.02,12.0,88594.0
STH501038,TF103046,Bronze,8,7382.630394460133,0.02,12.0,88592.0
STH502882,TF108363,Gold,8,7382.47472522032,0.02,12.0,88590.0
STH503149,TF109158,Gold,8,7382.405755540508,0.02,12.0,88589.0
STH506464,TF119203,Bronze,4,7382.219976170379,0.02,12.0,88587.0
STH501962,TF105757,Bronze,4,7382.219976170379,0.02,12.0,88587.0
STH503073,TF108939,Bronze,2,7382.058032582396,0.02,12.0,88585.0
STH502485,TF107252,Bronze,2,7381.47711854506,0.02,12.0,88578.0
STH505679,TF116962,Bronze,5,7381.4910291542865,0.02,12.0,88578.0
STH502737,TF107947,Bronze,2,7381.47711854506,0.02,12.0,88578.0
STH504041,TF111856,Silver,6,7381.433614212881,0.02,12.0,88577.0
STH506127,TF118182,Gold,2,7381.4536873986235,0.02,12.0,88577.0
STH500711,TF102062,Bronze,6,7381.274507543208,0.02,12.0,88575.0
STH500219,TF100600,Gold,9,7381.205423298223,0.02,12.0,88574.0
STH503726,TF110878,Silver,6,7381.011686919999,0.02,12.0,88572.0
STH508458,TF124876,Silver,6,7380.911083033405,0.02,12.0,88571.0
STH508366,TF124569,Bronze,7,7380.886417119699,0.02,12.0,88571.0
STH501641,TF104800,Silver,6,7380.911083033405,0.02,12.0,88571.0
STH507116,TF121038,Bronze,9,7380.789103425249,0.02,12.0,88569.0
STH501417,TF104149,Silver,2,7380.649615373819,0.02,12.0,88568.0
STH502172,TF106342,Bronze,4,7380.458975532285,0.02,12.0,88566.0
STH502785,TF108083,Silver,4,7380.541003308138,0.02,12.0,88566.0
