game_id,stand_id,final_attendance,transaction_count,predicted_transaction_count,abs_pct_error
G2025076,STAND17,15518,321,406.1,0.2651951360992932
G2025076,STAND9,15518,328,409.9,0.24964626931169986
G2025077,STAND17,17536,429,436.3,0.017052999408058503
G2025077,STAND9,17536,471,436.3,0.07363962474297855
G2025078,STAND15,13524,340,340.5,0.0013764113364613075
G2025078,STAND22,13524,326,338.9,0.0396861366436641
G2025078,STAND13,13524,344,332.2,0.034190125988930654
G2025079,STAND21,14923,374,349.0,0.0667129460632331
G2025080,STAND18,15698,319,403.5,0.26492719915874485
G2025080,STAND3,15698,344,400.4,0.1638151013754742
G2025081,STAND18,14749,419,387.8,0.07451735413281238
G2025081,STAND3,14749,409,386.8,0.054296431587332654
G2025075,STAND3,18000,371,406.2,0.09483903347534786
G2025012,STAND13,18000,472,482.8,0.02288778492701711
G2025012,STAND15,18000,505,478.5,0.05242462789126331
G2025012,STAND22,18000,454,478.5,0.054021063689233546
G2025013,STAND13,15784,454,389.2,0.1428358477357432
G2025013,STAND15,15784,425,389.2,0.08434699969888805
G2025013,STAND22,15784,386,389.2,0.008167163543970417
G2025014,STAND12,15622,443,396.8,0.1042153063940931
G2025014,STAND7,15622,403,396.8,0.0153036742744001
G2025014,STAND20,15622,453,398.7,0.11981361527340853
G2025014,STAND6,15622,425,396.8,0.06627618995901939
G2025014,STAND23,15622,421,396.8,0.05740470482798869
G2025015,STAND13,16045,407,433.3,0.06462620009210696
G2025015,STAND15,16045,376,433.3,0.1524012325465094
G2025015,STAND22,16045,410,431.1,0.05141441652875007
G2025016,STAND21,15779,401,432.9,0.07959001006465238
G2025017,STAND15,14569,341,374.4,0.09790422201945015
G2025017,STAND22,14569,337,374.4,0.11093572613837537
G2025017,STAND13,14569,322,373.6,0.1603817588080927
G2025018,STAND4,17215,373,425.0,0.13931989901399355
G2025019,STAND9,17518,453,448.4,0.010145184744344102
G2025019,STAND17,17518,459,448.4,0.02308446337513699
G2025020,STAND5,16628,483,447.5,0.07356877815925211
G2025020,STAND10,16628,416,448.0,0.0770048098486021
G2025020,STAND1,16628,451,444.2,0.015177023834854544
G2025020,STAND16,16628,420,447.5,0.06539590511686007
