game_id,game_date,opponent,section,base_price,demand_percentile,recommended_price_adjustment_pct,recommended_price
G2025000,2025-10-21,Pelicans,S109,95.45,0.262,-7.1,88.67
G2025000,2025-10-21,Pelicans,S134,95.42,0.262,-7.1,88.65
G2025000,2025-10-21,Pelicans,S114,95.4,0.262,-7.1,88.63
G2025000,2025-10-21,Pelicans,S133,95.36,0.262,-7.1,88.59
G2025000,2025-10-21,Pelicans,S127,95.3,0.262,-7.1,88.53
G2025000,2025-10-21,Pelicans,S115,95.25,0.262,-7.1,88.49
G2025000,2025-10-21,Pelicans,S129,95.23,0.262,-7.1,88.47
G2025000,2025-10-21,Pelicans,S118,95.19,0.262,-7.1,88.43
G2025000,2025-10-21,Pelicans,S122,95.18,0.262,-7.1,88.42
G2025000,2025-10-21,Pelicans,S103,95.18,0.262,-7.1,88.42
G2025000,2025-10-21,Pelicans,S110,95.11,0.262,-7.1,88.36
G2025000,2025-10-21,Pelicans,S108,95.08,0.262,-7.1,88.33
G2025000,2025-10-21,Pelicans,S100,95.07,0.262,-7.1,88.32
G2025000,2025-10-21,Pelicans,S101,95.05,0.262,-7.1,88.3
G2025000,2025-10-21,Pelicans,S119,95.04,0.262,-7.1,88.29
G2025000,2025-10-21,Pelicans,S125,94.99,0.262,-7.1,88.25
G2025000,2025-10-21,Pelicans,S128,94.98,0.262,-7.1,88.24
G2025000,2025-10-21,Pelicans,S123,94.97,0.262,-7.1,88.23
G2025000,2025-10-21,Pelicans,S120,94.91,0.262,-7.1,88.17
G2025000,2025-10-21,Pelicans,S121,94.9,0.262,-7.1,88.16
G2025000,2025-10-21,Pelicans,S116,94.9,0.262,-7.1,88.16
G2025000,2025-10-21,Pelicans,S113,94.87,0.262,-7.1,88.13
G2025000,2025-10-21,Pelicans,S102,94.85,0.262,-7.1,88.12
G2025000,2025-10-21,Pelicans,S124,94.85,0.262,-7.1,88.12
G2025000,2025-10-21,Pelicans,S104,94.84,0.262,-7.1,88.11
G2025000,2025-10-21,Pelicans,S130,94.82,0.262,-7.1,88.09
G2025000,2025-10-21,Pelicans,S131,94.81,0.262,-7.1,88.08
G2025000,2025-10-21,Pelicans,S111,94.69,0.262,-7.1,87.97
G2025000,2025-10-21,Pelicans,S126,94.68,0.262,-7.1,87.96
G2025000,2025-10-21,Pelicans,S132,94.58,0.262,-7.1,87.86
G2025000,2025-10-21,Pelicans,S105,94.56,0.262,-7.1,87.85
G2025000,2025-10-21,Pelicans,S107,94.5,0.262,-7.1,87.79
G2025000,2025-10-21,Pelicans,S106,94.48,0.262,-7.1,87.77
G2025000,2025-10-21,Pelicans,S117,94.45,0.262,-7.1,87.74
